Iteration,Cost,Effectiveness,t_bradyc,t_discountedlifeyear,t_dl_se,t_hyperk,t_hypot,t_lifeyear,t_numberofdeath,t_numberofhfh,t_reimp,t_se,t_walk,profile
33,32.63,0.170239659,0,0.267421994,0,0,0,0.268493151,1,0,0,0,1,base
233,32.63,0.170239659,0,0.267421994,0,0,0,0.268493151,1,0,0,0,1,base
248,32.63,0.170239659,0,0.267421994,0,0,0,0.268493151,1,0,0,0,1,base
355,32.63,0.170239659,0,0.267421994,0,0,0,0.268493151,1,0,0,0,1,base
364,32.63,0.170239659,0,0.267421994,0,0,0,0.268493151,1,0,0,0,1,base
831,14214.48487,0.168202942,0,0.267421994,0,0,0,0.268493151,1,1,0,0,1,base
1012,32.63,0.170239659,0,0.267421994,0,0,0,0.268493151,1,0,0,0,1,base
612,14170.04156,0.180793569,0,0.286441764,0,0,0,0.287671233,1,1,0,0,1,base
389,32.63,0.195404557,0,0.305450653,0,0,0,0.306849315,1,0,0,0,1,base
542,32.63,0.195404557,0,0.305450653,0,0,0,0.306849315,1,0,0,0,1,base
709,32.63,0.195404557,0,0.305450653,0,0,0,0.306849315,1,0,0,0,1,base
1007,32.63,0.195404557,0,0.305450653,0,0,0,0.306849315,1,0,0,0,1,base
44,32.63,0.207981621,0,0.324448664,0,0,0,0.326027397,1,0,0,0,1,base
177,14174.0761,0.205950707,0,0.324448664,0,0,0,0.326027397,1,1,0,0,1,base
657,32.63,0.207981621,0,0.324448664,0,0,0,0.326027397,1,0,0,0,1,base
868,32.63,0.207981621,0,0.324448664,0,0,0,0.326027397,1,0,0,0,1,base
926,32.63,0.207981621,0,0.324448664,0,0,0,0.326027397,1,0,0,0,1,base
1169,32.63,0.207981621,0,0.324448664,0,0,0,0.326027397,1,0,0,0,1,base
1226,32.63,0.207981621,0,0.324448664,0,0,0,0.326027397,1,0,0,0,1,base
847,14153.91491,0.231096968,0,0.362412073,0,0,0,0.364383562,1,1,0,0,1,base
575,32.63,0.245691289,0,0.381377481,0,0,0,0.383561644,1,0,0,0,1,base
658,32.63,0.245691289,0,0.381377481,0,0,0,0.383561644,1,0,0,0,1,base
